site_number,time,species,honeybee/native/exotic,svd,proportion_agriculture,visits/flower/5mins,pollen_grains/5min
1,16:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0,0
1,14:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,8:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,16:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,20:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,12:00,Apis mellifera,honeybee,123.03125,0.935875066,0.227272727,27.96164773
1,18:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,20:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,12:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.065476191,6.982142855
1,12:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,16:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,8:00,Apis mellifera,honeybee,123.03125,0.935875066,0,0
1,16:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,18:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0.031746032,0.202020202
1,18:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.005681818,0.60588843
1,18:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,20:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,12:00,Delia sp,exotic,2.6535206,0.935875066,0,0
1,18:00,Apis mellifera,honeybee,123.03125,0.935875066,0.021428571,2.636383929
1,16:00,Delia sp,exotic,2.6535206,0.935875066,0.00625,0.016584504
1,20:00,Eristalis tenax,exotic,106.6363636,0.935875066,0,0
1,20:00,Delia sp,exotic,2.6535206,0.935875066,0.05,0.13267603
1,18:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,16:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.027586207,2.941692789
1,8:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,10:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,14:00,Lasioglossum sp,native,30.14285714,0.935875066,0.011111111,0.334920635
1,12:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,10:00,Bombus terrestris,exotic,236.625,0.935875066,0.017241379,4.079741379
1,20:00,Delia sp,exotic,2.6535206,0.935875066,0.02631579,0.06982949
1,16:00,Eristalis tenax,exotic,106.6363636,0.935875066,0,0
1,16:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0.013793103,0.44865957
1,8:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,10:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,18:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,10:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,12:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0,0
1,14:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,16:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,16:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,10:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,12:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,16:00,Delia sp,exotic,2.6535206,0.935875066,0,0
1,14:00,Delia sp,exotic,2.6535206,0.935875066,0,0
1,16:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.074074074,7.898989896
1,12:00,Apis mellifera,honeybee,123.03125,0.935875066,0.136904762,16.84356399
1,8:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,16:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,10:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,16:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,20:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,10:00,Delia sp,exotic,2.6535206,0.935875066,0,0
1,20:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,14:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.076470588,8.154545452
1,18:00,Delia sp,exotic,2.6535206,0.935875066,0.003125,0.008292252
1,16:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,8:00,Delia sp,exotic,2.6535206,0.935875066,0.011494253,0.030500237
1,8:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,18:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,16:00,Apis mellifera,honeybee,123.03125,0.935875066,0.082758621,10.18189655
1,8:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0,0
1,8:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,16:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,16:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,16:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,18:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,18:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,8:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0.011904762,0.075757576
1,10:00,Apis mellifera,honeybee,123.03125,0.935875066,0.308641975,37.97260802
1,14:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,18:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,12:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.011111111,1.184848484
1,14:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,16:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,14:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,10:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.038961039,4.154663517
1,16:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.06875,7.331249998
1,14:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,12:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,20:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0.01754386,0.111642743
1,16:00,Lasioglossum sp,native,30.14285714,0.935875066,0.018181818,0.548051948
1,18:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.016,1.706181818
